Week,Interest Score
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,2
2020-03-01,7
2020-03-08,30
2020-03-15,79
2020-03-22,94
2020-03-29,96
2020-04-05,85
2020-04-12,68
2020-04-19,65
2020-04-26,57
2020-05-03,53
2020-05-10,54
2020-05-17,52
2020-05-24,47
2020-05-31,39
2020-06-07,42
2020-06-14,51
2020-06-21,70
2020-06-28,79
2020-07-05,79
2020-07-12,85
2020-07-19,73
2020-07-26,72
2020-08-02,63
2020-08-09,55
2020-08-16,52
2020-08-23,45
2020-08-30,49
2020-09-06,44
2020-09-13,41
2020-09-20,42
2020-09-27,54
2020-10-04,56
2020-10-11,48
2020-10-18,52
2020-10-25,56
2020-11-01,49
2020-11-08,78
2020-11-15,100
2020-11-22,80
2020-11-29,78
2020-12-06,86
2020-12-13,83
2020-12-20,87
2020-12-27,87
2021-01-03,87
2021-01-10,90
2021-01-17,85
2021-01-24,82
2021-01-31,76
2021-02-07,72
2021-02-14,64
2021-02-21,70
2021-02-28,79
2021-03-07,84
2021-03-14,74
2021-03-21,75
2021-03-28,76
2021-04-04,76
2021-04-11,63
2021-04-18,55
2021-04-25,62
2021-05-02,49
2021-05-09,47
2021-05-16,43
2021-05-23,36
2021-05-30,32
2021-06-06,30
2021-06-13,31
2021-06-20,29
2021-06-27,29
