,Interest Score,HST,XTN,sentiment,total_cases,new_cases,total_deaths,new_deaths
2020-03-03,7,-0.05344022554874972,-0.028092879396485082,neutral,74.0,19.0,7.0,1.0
2020-03-04,7,0.007057189903409089,0.03168425135808017,negative,107.0,33.0,11.0,4.0
2020-03-05,7,-0.0784863912617505,-0.06519398434302459,neutral,184.0,77.0,12.0,1.0
2020-03-06,7,0.023574177080572856,-0.005379419469760727,neutral,237.0,53.0,14.0,2.0
2020-03-09,30,-0.10326897023650483,-0.08557079903427811,negative,594.0,75.0,22.0,1.0
2020-03-10,30,0.04556753973827443,0.052386977909647525,neutral,782.0,188.0,28.0,6.0
2020-03-11,30,-0.08478603046966793,-0.056403078894096126,neutral,1147.0,365.0,33.0,5.0
2020-03-12,30,-0.09004328525356131,-0.10891297840228853,neutral,1586.0,439.0,43.0,10.0
2020-03-13,30,0.08563269257188444,0.06349963920193868,neutral,2219.0,633.0,51.0,8.0
2020-03-16,79,-0.15687992864075417,-0.09921432647900863,neutral,4679.0,1467.0,97.0,27.0
2020-03-17,79,0.046777527507110284,0.050336416745541346,positive,6512.0,1833.0,134.0,37.0
2020-03-18,79,-0.07547162842498834,-0.09252672324304467,positive,9169.0,2657.0,194.0,60.0
2020-03-19,79,0.11170783189887823,0.025359509037990113,neutral,13663.0,4494.0,266.0,72.0
2020-03-20,79,0.028019318953092398,-0.025242265365973626,positive,20030.0,6367.0,372.0,106.0
2020-03-23,94,0.003759394789693671,0.003400498814330577,neutral,46136.0,11238.0,790.0,191.0
2020-03-24,94,0.04026211041333738,0.12043792644356843,neutral,56755.0,10619.0,1033.0,243.0
2020-03-25,94,0.09270933559628558,0.03420198316332135,neutral,68837.0,12082.0,1367.0,334.0
2020-03-26,94,0.02635911744436026,0.03239591905495742,neutral,86693.0,17856.0,1785.0,418.0
2020-03-27,94,-0.09470307396172917,-0.05142734019917894,positive,105383.0,18690.0,2307.0,522.0
2020-03-30,96,0.012411378247956462,0.0020675431911727493,neutral,165987.0,22075.0,4286.0,713.0
2020-03-31,96,-0.03327496601595792,-0.0002292141627242561,neutral,192301.0,26314.0,5371.0,1085.0
2020-04-01,96,-0.06884060068006304,-0.06328828474208592,neutral,224587.0,32286.0,6655.0,1284.0
2020-04-02,96,-0.07101163046677816,-0.005630343961506745,negative,256809.0,32222.0,8169.0,1514.0
2020-04-03,96,-0.05130887553212282,-0.02929588030527719,neutral,289116.0,32307.0,9598.0,1429.0
2020-04-06,85,0.1501103304291882,0.07811306093125059,neutral,382787.0,31390.0,14553.0,1772.0
2020-04-07,85,0.025911660471444664,0.02869915946538959,neutral,413566.0,30779.0,17126.0,2573.0
2020-04-08,85,0.05332092337445138,0.03407275769641127,neutral,444801.0,31235.0,19287.0,2161.0
2020-04-09,85,0.05772643031241054,0.028306031506935225,neutral,480743.0,35942.0,21498.0,2211.0
2020-04-13,68,-0.04198152866548055,-0.03397853400117612,negative,598424.0,26939.0,29709.0,2015.0
2020-04-14,68,0.00262924920003349,0.01625118848375795,negative,627242.0,28818.0,32156.0,2447.0
2020-04-15,68,-0.014860063711115368,-0.021248656917420505,negative,652650.0,25408.0,34763.0,2607.0
2020-04-16,68,-0.023957448695370198,-0.009400223383479345,neutral,682652.0,30002.0,36916.0,2153.0
2020-04-17,68,0.0336363532326438,0.0332128620978267,neutral,715718.0,33066.0,39029.0,2113.0
2020-04-20,65,-0.050131899785519685,-0.02995842872509613,negative,799507.0,29820.0,45214.0,2236.0
2020-04-21,65,-0.02222220063700142,-0.013976531184719754,negative,825433.0,25926.0,47719.0,2505.0
2020-04-22,65,0.005681767382406999,0.00022858530291558488,neutral,854344.0,28911.0,50184.0,2465.0
2020-04-23,65,0.017890822608762624,0.014400024414062518,neutral,887956.0,33612.0,52642.0,2458.0
2020-04-24,65,0.026827007455686225,0.01960340042690567,neutral,920283.0,32327.0,54830.0,2188.0
2020-04-27,57,0.04234227902722476,0.035359082301018585,positive,1000866.0,23715.0,59470.0,1520.0
2020-04-28,57,0.010371641203479331,0.02070440239691651,positive,1025441.0,24575.0,61695.0,2225.0
2020-04-29,57,0.07527802788954974,0.03994144415728296,negative,1051900.0,26459.0,64105.0,2410.0
2020-04-30,57,-0.020684111497200397,-0.033983483657055835,neutral,1081105.0,29205.0,66293.0,2188.0
2020-05-01,57,-0.07067431434421412,-0.03351375061758555,neutral,1116012.0,34907.0,68208.0,1915.0
2020-05-04,53,-0.028846148235173064,-0.016584114854675924,neutral,1191749.0,24068.0,72525.0,1390.0
2020-05-05,53,-0.012601205578282482,0.007446345898469486,neutral,1216277.0,24528.0,74740.0,2215.0
2020-05-06,53,-0.04010943695052338,-0.012608735457710574,negative,1240846.0,24569.0,77049.0,2309.0
2020-05-07,53,0.04938276077400672,0.020035308207730473,neutral,1268275.0,27429.0,78974.0,1925.0
2020-05-08,53,0.0009049980732327434,0.04036259136582454,neutral,1295105.0,26830.0,80732.0,1758.0
2020-05-11,54,-0.08047019073744288,-0.009751062515843456,neutral,1358384.0,19298.0,84226.0,1044.0
2020-05-12,54,-0.03343167650317169,-0.03163625258778824,neutral,1381311.0,22927.0,85824.0,1598.0
2020-05-13,54,-0.038657183864722944,-0.027477291739983922,positive,1401744.0,20433.0,87549.0,1725.0
2020-05-14,54,0.06243387984086857,0.0031145581150660018,neutral,1428561.0,26817.0,89331.0,1782.0
2020-05-15,54,0.001992077474070042,-0.0062097755233829766,neutral,1453294.0,24733.0,90997.0,1666.0
2020-05-18,52,0.17097407968299327,0.07587586714978789,neutral,1518206.0,22389.0,94246.0,1223.0
2020-05-19,52,-0.019524579579792256,-0.012860380494893131,negative,1539185.0,20979.0,95706.0,1460.0
2020-05-20,52,-0.0008658206681120273,0.02500522426756646,neutral,1561910.0,22725.0,97205.0,1499.0
2020-05-21,52,-0.009532032672518564,0.002255035118989168,neutral,1587679.0,25769.0,98390.0,1185.0
2020-05-22,52,-0.017497879055076493,0.005931702171154907,neutral,1611328.0,23649.0,99612.0,1222.0
2020-05-26,47,0.08370441428089559,0.04188697357682236,neutral,1690829.0,19663.0,102613.0,678.0
2020-05-27,47,0.028759275207524082,0.034738460596985155,neutral,1709380.0,18551.0,104072.0,1459.0
2020-05-28,47,-0.03913743665150027,-0.018106357528936745,negative,1731700.0,22320.0,105164.0,1092.0
2020-05-29,47,-0.007481309608114328,0.0026891929687935523,negative,1756178.0,24478.0,106294.0,1130.0
2020-06-01,39,0.02596318513494844,0.005747111737085309,negative,1816207.0,17414.0,108643.0,778.0
2020-06-02,39,0.002448957793566686,0.012190464564732162,negative,1837709.0,21502.0,109623.0,980.0
2020-06-03,39,0.026872958540872016,0.03199098198090322,negative,1857566.0,19857.0,110631.0,1008.0
2020-06-04,39,0.035686024995343235,0.026622886221924214,negative,1879224.0,21658.0,111637.0,1006.0
2020-06-05,39,0.07274117754530818,0.026998232297720914,negative,1904627.0,25403.0,112526.0,889.0
2020-06-08,42,0.05781580676012821,0.021964726123603784,negative,1961313.0,17616.0,114137.0,509.0
2020-06-09,42,-0.024966254600416904,-0.0277542627418087,neutral,1979696.0,18383.0,115044.0,907.0
2020-06-10,42,-0.08027680710890628,-0.027154070540889585,negative,2000807.0,21111.0,115923.0,879.0
2020-06-11,42,-0.08427388177380557,-0.08409377016042618,negative,2023973.0,23166.0,116751.0,828.0
2020-06-12,42,0.03861957798540416,0.032037570782235125,neutral,2048801.0,24828.0,117580.0,829.0
2020-06-15,51,-0.0150316874127292,0.013439315916421224,neutral,2112781.0,19827.0,119061.0,396.0
2020-06-16,51,0.028915712117814962,0.014755339970459858,neutral,2136448.0,23667.0,119874.0,813.0
2020-06-17,51,-0.039032004966551015,-0.0011043874704366186,negative,2163520.0,27072.0,120613.0,739.0
2020-06-18,51,-0.008935873810066663,0.001474074363048583,neutral,2192057.0,28537.0,121301.0,688.0
2020-06-19,51,-0.04344260174239423,-0.01858322630890441,neutral,2223601.0,31544.0,121928.0,627.0
2020-06-22,70,-0.03256213470065328,-0.010873675091779056,neutral,2313175.0,32144.0,123213.0,407.0
2020-06-23,70,-0.004428714871904771,0.011561801170539399,negative,2350247.0,37072.0,123961.0,748.0
2020-06-24,70,-0.02313169343205168,-0.04234585660040202,neutral,2386125.0,35878.0,124698.0,737.0
2020-06-25,70,-0.010928951781599139,0.007630588632187463,negative,2426451.0,40326.0,125236.0,538.0
2020-06-26,70,-0.011049713568388575,-0.02019419253451149,negative,2472450.0,45999.0,125864.0,628.0
2020-06-29,79,0.02048419662171974,0.03606816741667873,negative,2595813.0,41299.0,127072.0,386.0
2020-06-30,79,-0.015510955812249039,0.011094143928793931,negative,2642233.0,46420.0,127627.0,555.0
2020-07-01,79,0.009267875979913631,-0.010972414384367357,neutral,2694053.0,51820.0,128328.0,701.0
2020-07-02,79,0.005509592658476947,0.008607512881535495,neutral,2750689.0,56636.0,129038.0,710.0
2020-07-06,79,0.023744313553488938,0.022378158835950845,negative,2941586.0,43106.0,130726.0,377.0
2020-07-07,79,-0.03300623410347847,-0.012057160595783434,neutral,3002247.0,60661.0,131887.0,1161.0
2020-07-08,79,-0.010147657638667207,0.006759305702155993,negative,3062366.0,60119.0,132709.0,822.0
2020-07-09,79,-0.020503198764222907,-0.025363682160441936,negative,3124875.0,62509.0,133729.0,1020.0
2020-07-10,79,0.03139865999233793,0.028702641564799736,negative,3192932.0,68057.0,134545.0,816.0
2020-07-13,85,-0.0018450606533337854,-0.014322854670886231,neutral,3370303.0,58930.0,136194.0,448.0
2020-07-14,85,-0.019408506845654205,0.014530979782537035,negative,3438354.0,68051.0,137122.0,928.0
2020-07-15,85,0.0951932386016816,0.042782796197308626,negative,3506444.0,68090.0,138096.0,974.0
2020-07-16,85,-0.031841642788560165,-0.006600120184055425,neutral,3582310.0,75866.0,139051.0,955.0
2020-07-17,85,-0.021333312988281228,0.008978272801755782,negative,3654546.0,72236.0,139976.0,925.0
2020-07-20,73,-0.03723885911796643,-0.01672893129885522,neutral,3839645.0,62107.0,141883.0,563.0
2020-07-21,73,0.02735848598269741,0.005429850444534701,neutral,3904106.0,64461.0,142968.0,1085.0
2020-07-22,73,-0.0018365892684232277,-0.00774077967743525,negative,3974685.0,70579.0,144191.0,1223.0
2020-07-23,73,-0.012879516540634572,0.001632803961028939,negative,4043130.0,68445.0,145261.0,1070.0
2020-07-24,73,-0.021435186584210397,-0.00978085354975522,neutral,4116449.0,73319.0,146367.0,1106.0
2020-07-27,72,-0.017142886207217267,0.005121686544214965,neutral,4293001.0,56783.0,148957.0,1127.0
2020-07-28,72,0.019379919462571227,-0.010555083221142847,neutral,4359413.0,66412.0,150289.0,1332.0
2020-07-29,72,0.04752851504212674,0.009380212364348273,negative,4431286.0,71873.0,151700.0,1411.0
2020-07-30,72,-0.01633396530841069,-0.005284273139269935,negative,4498752.0,67466.0,152935.0,1235.0
2020-07-31,72,-0.00553509398266705,-0.0016486563901140228,negative,4567464.0,68712.0,154172.0,1237.0
2020-08-03,63,-0.0435991952687137,0.0022018152639406985,negative,4714734.0,45501.0,156279.0,583.0
2020-08-04,63,0.058195868416629715,0.014280531110351324,neutral,4773508.0,58774.0,157561.0,1282.0
2020-08-05,63,-0.0018331351392364414,0.014620894156751607,negative,4827974.0,54466.0,159000.0,1439.0
2020-08-06,63,-0.011937567524561876,0.0065825076073384725,neutral,4887323.0,59349.0,160239.0,1239.0
2020-08-07,63,0.0687732114662849,0.014492747760466607,neutral,4946626.0,59303.0,161480.0,1241.0
2020-08-10,55,0.03304348821225367,0.03031355082778253,neutral,5094135.0,47606.0,163713.0,634.0
2020-08-11,55,-0.017676770717510726,0.005241822395846585,neutral,5142138.0,48003.0,164738.0,1025.0
2020-08-12,55,-0.008569012923390074,0.0031959398531653527,neutral,5198178.0,56040.0,166243.0,1505.0
