,Interest Score,HST,XTN,sentiment,Principal Component 1
2020-03-03,7,-0.05344022554874972,-0.028092879396485082,neutral,-8775543.461298576
2020-03-04,7,0.007057189903409089,0.03168425135808017,negative,-8775510.322699845
2020-03-05,7,-0.0784863912617505,-0.06519398434302459,neutral,-8775433.060920771
2020-03-06,7,0.023574177080572856,-0.005379419469760727,neutral,-8775380.177615793
2020-03-09,30,-0.10326897023650483,-0.08557079903427811,negative,-8775022.9748
2020-03-10,30,0.04556753973827443,0.052386977909647525,neutral,-8774834.247890668
2020-03-11,30,-0.08478603046966793,-0.056403078894096126,neutral,-8774468.186421553
2020-03-12,30,-0.09004328525356131,-0.10891297840228853,neutral,-8774028.659809142
2020-03-13,30,0.08563269257188444,0.06349963920193868,neutral,-8773394.48909415
2020-03-16,79,-0.15687992864075417,-0.09921432647900863,neutral,-8770929.242280412
2020-03-17,79,0.046777527507110284,0.050336416745541346,positive,-8769093.783696944
2020-03-18,79,-0.07547162842498834,-0.09252672324304467,positive,-8766431.407815924
2020-03-19,79,0.11170783189887823,0.025359509037990113,neutral,-8761926.177110208
2020-03-20,79,0.028019318953092398,-0.025242265365973626,positive,-8755547.465683604
2020-03-23,94,0.003759394789693671,0.003400498814330577,neutral,-8729410.111399423
2020-03-24,94,0.04026211041333738,0.12043792644356843,neutral,-8718792.434080081
2020-03-25,94,0.09270933559628558,0.03420198316332135,neutral,-8706698.399136316
2020-03-26,94,0.02635911744436026,0.03239591905495742,neutral,-8688804.670428464
2020-03-27,94,-0.09470307396172917,-0.05142734019917894,positive,-8670104.323535973
2020-03-30,96,0.012411378247956462,0.0020675431911727493,neutral,-8609458.442425208
2020-03-31,96,-0.03327496601595792,-0.0002292141627242561,neutral,-8583106.617095476
2020-04-01,96,-0.06884060068006304,-0.06328828474208592,neutral,-8550770.444018563
2020-04-02,96,-0.07101163046677816,-0.005630343961506745,negative,-8518530.01382411
2020-04-03,96,-0.05130887553212282,-0.02929588030527719,neutral,-8486205.045064244
2020-04-06,85,0.1501103304291882,0.07811306093125059,neutral,-8392476.321713848
2020-04-07,85,0.025911660471444664,0.02869915946538959,neutral,-8361665.705725819
2020-04-08,85,0.05332092337445138,0.03407275769641127,neutral,-8330399.293450333
2020-04-09,85,0.05772643031241054,0.028306031506935225,neutral,-8294400.877221388
2020-04-13,68,-0.04198152866548055,-0.03397853400117612,negative,-8176662.995047726
2020-04-14,68,0.00262924920003349,0.01625118848375795,negative,-8147800.521816799
2020-04-15,68,-0.014860063711115368,-0.021248656917420505,negative,-8122376.072733306
2020-04-16,68,-0.023957448695370198,-0.009400223383479345,neutral,-8092318.448700399
2020-04-17,68,0.0336363532326438,0.0332128620978267,neutral,-8059206.748017085
2020-04-20,65,-0.050131899785519685,-0.02995842872509613,negative,-7975353.579210088
2020-04-21,65,-0.02222220063700142,-0.013976531184719754,negative,-7949415.572911207
2020-04-22,65,0.005681767382406999,0.00022858530291558488,neutral,-7920453.413860807
2020-04-23,65,0.017890822608762624,0.014400024414062518,neutral,-7886780.961206939
2020-04-24,65,0.026827007455686225,0.01960340042690567,neutral,-7854432.442004729
2020-04-27,57,0.04234227902722476,0.035359082301018585,positive,-7773839.807134681
2020-04-28,57,0.010371641203479331,0.02070440239691651,positive,-7749229.083933034
2020-04-29,57,0.07527802788954974,0.03994144415728296,negative,-7722725.85053428
2020-04-30,57,-0.020684111497200397,-0.033983483657055835,neutral,-7693475.36385689
2020-05-01,57,-0.07067431434421412,-0.03351375061758555,neutral,-7658510.535015188
