,Interest Score,HST,SPY,XTN,sentiment,Principal Component 1,S&P 500 Daily Movement
2020-03-03,7,-0.05344022554874972,-0.02863245724019159,-0.028092879396485082,neutral,-8775543.461298576,neg
2020-03-04,7,0.007057189903409089,0.04203302533861675,0.03168425135808017,neutral,-8775510.322699845,pos
2020-03-05,7,-0.0784863912617505,-0.033241687602835635,-0.06519398434302459,neutral,-8775433.060920771,neg
2020-03-06,7,0.023574177080572856,-0.016531112018967953,-0.005379419469760727,neutral,-8775380.177615793,neg
2020-03-09,30,-0.10326897023650483,-0.07809447030209493,-0.08557079903427811,neutral,-8775022.9748,neg
2020-03-10,30,0.04556753973827443,0.05174489250964487,0.052386977909647525,neutral,-8774834.247890668,pos
2020-03-11,30,-0.08478603046966793,-0.04874844817138435,-0.056403078894096126,neutral,-8774468.186421553,neg
2020-03-12,30,-0.09004328525356131,-0.09567716191402487,-0.10891297840228853,neutral,-8774028.659809142,neg
2020-03-13,30,0.08563269257188444,0.08548630309818428,0.06349963920193868,neutral,-8773394.48909415,pos
2020-03-16,79,-0.15687992864075417,-0.10942373540494488,-0.09921432647900863,neutral,-8770929.242280412,neg
2020-03-17,79,0.046777527507110284,0.05399206428476466,0.050336416745541346,neutral,-8769093.783696944,pos
2020-03-18,79,-0.07547162842498834,-0.05063292285300003,-0.09252672324304467,neutral,-8766431.407815924,neg
2020-03-19,79,0.11170783189887823,0.002124977111816362,0.025359509037990113,neutral,-8761926.177110208,pos
2020-03-20,79,0.028019318953092398,-0.0486881698163496,-0.025242265365973626,positive,-8755547.465683604,neg
2020-03-23,94,0.003759394789693671,-0.025568208153355143,0.003400498814330577,neutral,-8729410.111399423,neg
2020-03-24,94,0.04026211041333738,0.09060326182884682,0.12043792644356843,neutral,-8718792.434080081,pos
2020-03-25,94,0.09270933559628558,0.014970180880194084,0.03420198316332135,neutral,-8706698.399136316,pos
2020-03-26,94,0.02635911744436026,0.05838980231338309,0.03239591905495742,neutral,-8688804.670428464,pos
2020-03-27,94,-0.09470307396172917,-0.029785657253030173,-0.05142734019917894,neutral,-8670104.323535973,neg
2020-03-30,96,0.012411378247956462,0.03247571536186511,0.0020675431911727493,neutral,-8609458.442425208,pos
2020-03-31,96,-0.03327496601595792,-0.01490538500844496,-0.0002292141627242561,neutral,-8583106.617095476,neg
2020-04-01,96,-0.06884060068006304,-0.045004873340506735,-0.06328828474208592,neutral,-8550770.444018563,neg
2020-04-02,96,-0.07101163046677816,0.023075393359379692,-0.005630343961506745,negative,-8518530.01382411,pos
2020-04-03,96,-0.05130887553212282,-0.014454192761712337,-0.02929588030527719,neutral,-8486205.045064244,neg
2020-04-06,85,0.1501103304291882,0.06716621437679282,0.07811306093125059,neutral,-8392476.321713848,pos
2020-04-07,85,0.025911660471444664,0.0010194802770664424,0.02869915946538959,neutral,-8361665.705725819,pos
2020-04-08,85,0.05332092337445138,0.03356841448563386,0.03407275769641127,neutral,-8330399.293450333,pos
2020-04-09,85,0.05772643031241054,0.015217361041894195,0.028306031506935225,neutral,-8294400.877221388,pos
