Category: All categories

Week,covid 19: (United States)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,1
2020-02-23,3
2020-03-01,9
2020-03-08,35
2020-03-15,90
2020-03-22,100
2020-03-29,99
2020-04-05,80
2020-04-12,60
2020-04-19,53
2020-04-26,46
2020-05-03,41
2020-05-10,39
2020-05-17,35
2020-05-24,30
2020-05-31,24
2020-06-07,24
2020-06-14,27
2020-06-21,37
2020-06-28,42
2020-07-05,40
2020-07-12,36
2020-07-19,29
2020-07-26,25
2020-08-02,22
2020-08-09,19
2020-08-16,16
2020-08-23,14
2020-08-30,15
2020-09-06,13
2020-09-13,13
2020-09-20,12
2020-09-27,13
2020-10-04,13
2020-10-11,12
2020-10-18,13
2020-10-25,14
2020-11-01,11
2020-11-08,17
2020-11-15,21
2020-11-22,16
2020-11-29,17
2020-12-06,17
2020-12-13,17
2020-12-20,15
2020-12-27,17
2021-01-03,15
2021-01-10,16
2021-01-17,14
2021-01-24,14
2021-01-31,12
2021-02-07,11
2021-02-14,10
2021-02-21,10
2021-02-28,11
2021-03-07,11
2021-03-14,10
2021-03-21,10
2021-03-28,9
2021-04-04,9
2021-04-11,8
2021-04-18,8
2021-04-25,7
2021-05-02,6
2021-05-09,6
2021-05-16,6
2021-05-23,5
2021-05-30,5
2021-06-06,5
2021-06-13,5
2021-06-20,4
2021-06-27,4
